symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
ALBUS,INE1001D01,2026-01-15,NSE,EQ,EQ,buy,False,48,522.54,1001,1001,2026-01-15T15:20:59
BELLATRIX,INE1002D01,2026-01-15,NSE,EQ,EQ,buy,False,176,142.02,1002,1002,2026-01-15T15:20:59
CEDRIC,INE1003D01,2026-01-15,NSE,EQ,EQ,buy,False,29,858.44,1003,1003,2026-01-15T15:20:59
DRACO,INE1004D01,2026-01-15,NSE,EQ,EQ,buy,False,414,60.4,1004,1004,2026-01-15T15:20:59
DRACO,INE1005D01,2026-02-05,NSE,EQ,EQ,sell,False,414,58.59,1005,1005,2026-02-05T09:30:10
BELLATRIX,INE1006D01,2026-02-05,NSE,EQ,EQ,sell,False,7,146.47,1006,1006,2026-02-05T09:30:10
CEDRIC,INE1007D01,2026-02-05,NSE,EQ,EQ,buy,False,1,824.33,1007,1007,2026-02-05T09:30:12
DOBBY,INE1008D01,2026-02-05,NSE,EQ,EQ,buy,False,106,232.12,1008,1008,2026-02-05T09:30:12
ALBUS,INE1009D01,2026-03-05,NSE,EQ,EQ,sell,False,48,496.64,1009,1009,2026-03-05T09:31:00
BELLATRIX,INE1010D01,2026-03-05,NSE,EQ,EQ,buy,False,1,143.92,1010,1010,2026-03-05T09:31:02
CEDRIC,INE1011D01,2026-03-05,NSE,EQ,EQ,sell,False,1,836.06,1011,1011,2026-03-05T09:31:00
DOBBY,INE1012D01,2026-03-05,NSE,EQ,EQ,sell,False,1,234.12,1012,1012,2026-03-05T09:31:00
ARAGOG,INE1013D01,2026-03-05,NSE,EQ,EQ,buy,False,47,518.59,1013,1013,2026-03-05T09:31:02
BELLATRIX,INE1014D01,2026-03-10,NSE,EQ,EQ,buy,False,165,147.69,1014,1014,2026-03-10T09:45:11
CEDRIC,INE1015D01,2026-03-10,NSE,EQ,EQ,buy,False,30,839.98,1015,1015,2026-03-10T09:45:11
DOBBY,INE1016D01,2026-03-10,NSE,EQ,EQ,buy,False,111,229.35,1016,1016,2026-03-10T09:45:11
ARAGOG,INE1017D01,2026-03-10,NSE,EQ,EQ,buy,False,48,521.91,1017,1017,2026-03-10T09:45:11
BELLATRIX,INE1018D01,2026-04-09,NSE,EQ,EQ,sell,False,335,143.93,1018,1018,2026-04-09T09:32:00
CEDRIC,INE1019D01,2026-04-09,NSE,EQ,EQ,sell,False,3,915.43,1019,1019,2026-04-09T09:32:00
DOBBY,INE1020D01,2026-04-09,NSE,EQ,EQ,buy,False,3,233.06,1020,1020,2026-04-09T09:32:02
ARAGOG,INE1021D01,2026-04-09,NSE,EQ,EQ,sell,False,1,547.52,1021,1021,2026-04-09T09:32:00
BUCKBEAK,INE1022D01,2026-04-09,NSE,EQ,EQ,buy,False,536,95.51,1022,1022,2026-04-09T09:32:02
